"arc SWCNT 0.2 mgmL 1 wt% DOC tip 20h 10krpm 13h - RawData"
"≤®≥§(nm)","Œ¸ ’÷µ"
190.00,-0.789
190.50,-0.770
191.00,-0.784
191.50,6.000
192.00,0.902
192.50,0.259
193.00,0.076
193.50,0.229
194.00,0.662
194.50,1.638
195.00,0.958
195.50,0.625
196.00,0.833
196.50,6.000
197.00,6.000
197.50,6.000
198.00,6.000
198.50,6.000
199.00,6.000
199.50,6.000
200.00,6.000
200.50,1.455
201.00,1.494
201.50,1.811
202.00,6.000
202.50,6.000
203.00,6.000
203.50,6.000
204.00,6.000
204.50,6.000
205.00,6.000
205.50,6.000
206.00,6.000
206.50,6.000
207.00,6.000
207.50,6.000
208.00,6.000
208.50,3.724
209.00,6.000
209.50,6.000
210.00,6.000
210.50,6.000
211.00,6.000
211.50,6.000
212.00,6.000
212.50,5.768
213.00,5.323
213.50,5.138
214.00,4.933
214.50,5.051
215.00,6.000
215.50,6.000
216.00,5.317
216.50,4.966
217.00,5.041
217.50,4.794
218.00,4.865
218.50,4.753
219.00,4.782
219.50,4.832
220.00,5.029
220.50,4.815
221.00,4.668
221.50,4.629
222.00,4.711
222.50,4.911
223.00,4.860
223.50,4.928
224.00,4.750
224.50,4.706
225.00,4.584
225.50,4.549
226.00,4.516
226.50,4.483
227.00,4.473
227.50,4.525
228.00,4.600
228.50,4.615
229.00,4.491
229.50,4.440
230.00,4.420
230.50,4.390
231.00,4.385
231.50,4.389
232.00,4.448
232.50,4.447
233.00,4.461
233.50,4.474
234.00,4.532
234.50,4.509
235.00,4.510
235.50,4.465
236.00,4.434
236.50,4.389
237.00,4.358
237.50,4.364
238.00,4.367
238.50,4.394
239.00,4.418
239.50,4.431
240.00,4.474
240.50,4.441
241.00,4.440
241.50,4.366
242.00,4.370
242.50,4.360
243.00,4.358
243.50,4.350
244.00,4.353
244.50,4.352
245.00,4.319
245.50,4.290
246.00,4.244
246.50,4.239
247.00,4.221
247.50,4.250
248.00,4.240
248.50,4.212
249.00,4.183
249.50,4.169
250.00,4.166
250.50,4.141
251.00,4.111
251.50,4.078
252.00,4.068
252.50,4.054
253.00,4.037
253.50,4.010
254.00,3.994
254.50,3.981
255.00,3.969
255.50,3.956
256.00,3.945
256.50,3.914
257.00,3.888
257.50,3.868
258.00,3.873
258.50,3.867
259.00,3.860
259.50,3.849
260.00,3.850
260.50,3.838
261.00,3.825
261.50,3.810
262.00,3.801
262.50,3.782
263.00,3.771
263.50,3.760
264.00,3.763
264.50,3.755
265.00,3.746
265.50,3.733
266.00,3.714
266.50,3.701
267.00,3.684
267.50,3.672
268.00,3.672
268.50,3.668
269.00,3.670
269.50,3.650
270.00,3.647
270.50,3.635
271.00,3.628
271.50,3.607
272.00,3.597
272.50,3.594
273.00,3.593
273.50,3.578
274.00,3.565
274.50,3.545
275.00,3.530
275.50,3.514
276.00,3.504
276.50,3.495
277.00,3.483
277.50,3.470
278.00,3.456
278.50,3.437
279.00,3.418
279.50,3.402
280.00,3.392
280.50,3.380
281.00,3.365
281.50,3.347
282.00,3.327
282.50,3.309
283.00,3.289
283.50,3.271
284.00,3.253
284.50,3.237
285.00,3.219
285.50,3.199
286.00,3.182
286.50,3.166
287.00,3.150
287.50,3.132
288.00,3.114
288.50,3.097
289.00,3.077
289.50,3.060
290.00,3.042
290.50,3.022
291.00,3.002
291.50,2.983
292.00,2.966
292.50,2.948
293.00,2.930
293.50,2.911
294.00,2.892
294.50,2.874
295.00,2.857
295.50,2.840
296.00,2.821
296.50,2.803
297.00,2.787
297.50,2.771
298.00,2.755
298.50,2.738
299.00,2.720
299.50,2.700
300.00,2.678
300.50,2.663
301.00,2.647
301.50,2.632
302.00,2.612
302.50,2.599
303.00,2.590
303.50,2.576
304.00,2.559
304.50,2.540
305.00,2.528
305.50,2.509
306.00,2.491
306.50,2.471
307.00,2.456
307.50,2.439
308.00,2.428
308.50,2.415
309.00,2.403
309.50,2.384
310.00,2.374
310.50,2.360
311.00,2.350
311.50,2.336
312.00,2.323
312.50,2.312
313.00,2.297
313.50,2.285
314.00,2.273
314.50,2.260
315.00,2.250
315.50,2.237
316.00,2.225
316.50,2.209
317.00,2.192
317.50,2.179
318.00,2.170
318.50,2.162
319.00,2.152
319.50,2.140
320.00,2.129
320.50,2.120
321.00,2.108
321.50,2.099
322.00,2.086
322.50,2.077
323.00,2.067
